QBlade CE v2.0.9.7b_beta windows

 Calculated polar for: CLARK Y AIRFOIL

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.010 e 6     Ncrit =   7.000

alpha    CL       CD       CDp      Cm       TopXtr   BotXtr   Cpmin    Chinge   XCp      
------   ------   ------   ------   ------   ------   ------   ------   ------   ------   
-15.000  -0.3968  0.16072  0.14336  0.0107   0.0000   0.0000   1.2145   0.0000   0.0000   
-14.500  -0.3593  0.14919  0.13177  0.0063   0.0000   0.0000   1.1681   0.0000   0.0000   
-14.000  -0.3106  0.13360  0.11611  -0.0009  0.0000   0.0000   1.1054   0.0000   0.0000   
-13.500  -0.2302  0.10586  0.08803  -0.0170  0.0000   0.0000   1.0151   0.0000   0.0000   
-13.000  -0.1962  0.09732  0.07945  -0.0232  0.0000   0.0000   0.9781   0.0000   0.0000   
-12.500  -0.1763  0.09553  0.07770  -0.0257  0.0000   0.0000   0.9499   0.0000   0.0000   
-12.000  -0.1568  0.09368  0.07589  -0.0281  0.0000   0.0000   0.9191   0.0000   0.0000   
-11.500  -0.1378  0.09177  0.07403  -0.0303  0.0000   0.0000   0.9050   0.0000   0.0000   
-11.000  -0.1192  0.08981  0.07204  -0.0323  0.0000   0.0000   0.8884   0.0000   0.0000   
-10.500  -0.1012  0.08778  0.07008  -0.0342  0.0000   0.0000   0.8694   0.0000   0.0000   
-10.000  -0.0839  0.08569  0.06807  -0.0358  0.0000   0.0000   0.8485   0.0000   0.0000   
-9.500   -0.0675  0.08355  0.06601  -0.0373  0.0000   0.0000   0.8277   0.0000   0.0000   
-9.000   -0.2432  0.11386  0.09715  -0.0088  0.0000   0.0000   1.0451   0.0000   0.0000   
-8.500   -0.2797  0.11439  0.09798  -0.0099  0.0000   0.0000   1.1283   0.0000   0.0000   
-8.000   -0.2963  0.11134  0.09521  -0.0107  0.0000   0.0000   1.1750   0.0000   0.0000   
-7.500   -0.3111  0.10765  0.09179  -0.0106  0.0000   0.0000   1.2135   0.0000   0.0000   
-7.000   -0.3287  0.10371  0.08818  -0.0094  0.0000   0.0000   1.2513   0.0000   0.0000   
-6.500   -0.3563  0.10005  0.08492  -0.0074  0.0000   0.0000   1.3089   0.0000   0.0000   
-6.000   -0.3610  0.09450  0.07962  -0.0065  0.0000   0.0000   1.3376   0.0000   0.0000   
-5.500   -0.3883  0.08991  0.07536  -0.0059  0.0000   0.0000   1.4075   0.0000   0.0000   
-5.000   -0.3934  0.08410  0.06966  -0.0053  0.0000   0.0000   1.4380   0.0000   0.0000   
-4.500   -0.3992  0.07832  0.06392  -0.0054  0.0000   0.0000   1.4714   0.0000   0.0000   
-4.000   -0.3913  0.07247  0.05806  -0.0047  0.0000   0.0000   1.4721   0.0000   0.0000   
-3.500   -0.3759  0.06654  0.05196  -0.0054  0.0000   0.0000   1.4670   0.0000   0.0000   
-3.000   -0.3504  0.06081  0.04599  -0.0062  0.0000   0.0000   1.4579   0.0000   0.0000   
-2.500   -0.3198  0.05560  0.04067  -0.0050  0.0000   0.0000   1.4462   0.0000   0.0000   
-2.000   -0.2854  0.05058  0.03583  -0.0012  0.0000   0.0000   1.4278   0.0000   0.0000   
-1.500   -0.1336  0.04203  0.02595  -0.0290  0.0000   0.0000   1.3749   0.0000   0.0000   
-1.000   -0.0927  0.04218  0.02387  -0.0312  0.0000   0.0000   1.2651   0.0000   0.0000   
-0.500   -0.0569  0.04282  0.02312  -0.0308  0.0000   0.0000   1.1317   0.0000   0.0000   
0.000    -0.0228  0.04369  0.02290  -0.0300  0.0000   0.0000   1.0082   0.0000   0.0000   
0.500    0.0099   0.04475  0.02313  -0.0292  0.0000   0.0000   0.8975   0.0000   0.0000   
1.000    0.0415   0.04602  0.02371  -0.0284  0.0000   0.0000   0.7883   0.0000   0.0000   
1.500    0.0717   0.04749  0.02463  -0.0277  0.0000   0.0000   0.6821   0.0000   0.0000   
2.000    0.1004   0.04916  0.02589  -0.0272  0.0000   0.0000   0.5799   0.0000   0.0000   
2.500    0.1275   0.05105  0.02748  -0.0268  0.0000   0.0000   0.5367   0.0000   0.0000   
3.000    0.1527   0.05314  0.02935  -0.0265  0.0000   0.0000   0.5501   0.0000   0.0000   
3.500    0.1763   0.05543  0.03148  -0.0264  0.0000   0.0000   0.5619   0.0000   0.0000   
4.000    0.1983   0.05788  0.03383  -0.0264  0.0000   0.0000   0.5724   0.0000   0.0000   
4.500    0.2191   0.06046  0.03635  -0.0266  0.0000   0.0000   0.5841   0.0000   0.0000   
5.000    0.2392   0.06311  0.03899  -0.0269  0.0000   0.0000   0.5961   0.0000   0.0000   
