  
       XFOIL         Version 6.96
  
 Calculated polar for: NACA 2.5411                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.100 e 6     Ncrit =   6.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
-180.000000         0.000000            0.006000            0.000000            0.000000            0.000000            0.000000            
-179.000000         0.031505            0.006548            0.012184            0.000000            0.031505            0.000000            
-178.000000         0.062971            0.008192            0.024278            0.000000            0.062971            0.000000            
-177.000000         0.094361            0.010930            0.036278            0.000000            0.094361            0.000000            
-176.000000         0.125635            0.014759            0.048182            0.000000            0.125635            0.000000            
-175.000000         0.156757            0.019673            0.059984            0.000000            0.156757            0.000000            
-174.000000         0.187687            0.025667            0.071683            0.000000            0.187687            0.000000            
-173.000000         0.218389            0.032734            0.083274            0.000000            0.218389            0.000000            
-172.000000         0.248825            0.040864            0.094753            0.000000            0.248825            0.000000            
-171.000000         0.278958            0.050049            0.106118            0.000000            0.278958            0.000000            
-170.000000         0.308750            0.060277            0.117366            0.000000            0.308750            0.000000            
-169.000000         0.338167            0.071535            0.128492            0.000000            0.338167            0.000000            
-168.000000         0.367172            0.083809            0.139494            0.000000            0.367172            0.000000            
-167.000000         0.395729            0.097085            0.150369            0.000000            0.395729            0.000000            
-166.000000         0.423804            0.111347            0.161113            0.000000            0.423804            0.000000            
-165.000000         0.451363            0.126577            0.171724            0.000000            0.451363            0.000000            
-164.000000         0.478372            0.142757            0.182199            0.000000            0.478372            0.000000            
-163.000000         0.504798            0.159866            0.192536            0.000000            0.504798            0.000000            
-162.000000         0.530609            0.177885            0.202730            0.000000            0.530609            0.000000            
-161.000000         0.555774            0.196790            0.212780            0.000000            0.555774            0.000000            
-160.000000         0.580261            0.216560            0.222683            0.000000            0.580261            0.000000            
-159.000000         0.604042            0.237170            0.232436            0.000000            0.604042            0.000000            
-158.000000         0.627086            0.258594            0.242037            0.000000            0.627086            0.000000            
-157.000000         0.649367            0.280807            0.251484            0.000000            0.649367            0.000000            
-156.000000         0.670856            0.303782            0.260774            0.000000            0.670856            0.000000            
-155.000000         0.691528            0.327491            0.269905            0.000000            0.691528            0.000000            
-154.000000         0.711358            0.351905            0.278875            0.000000            0.711358            0.000000            
-153.000000         0.730321            0.376993            0.287682            0.000000            0.730321            0.000000            
-152.000000         0.748394            0.402726            0.296323            0.000000            0.748394            0.000000            
-151.000000         0.765555            0.429073            0.304797            0.000000            0.765555            0.000000            
-150.000000         0.781784            0.456000            0.313103            0.000000            0.781784            0.000000            
-149.000000         0.797060            0.483476            0.321237            0.000000            0.797060            0.000000            
-148.000000         0.811365            0.511466            0.329199            0.000000            0.811365            0.000000            
-147.000000         0.824681            0.539937            0.336987            0.000000            0.824681            0.000000            
-146.000000         0.836993            0.568854            0.344599            0.000000            0.836993            0.000000            
-145.000000         0.848285            0.598182            0.352034            0.000000            0.848285            0.000000            
-144.000000         0.858543            0.627885            0.359290            0.000000            0.858543            0.000000            
-143.000000         0.867756            0.657926            0.366367            0.000000            0.867756            0.000000            
-142.000000         0.875911            0.688270            0.373262            0.000000            0.875911            0.000000            
-141.000000         0.882999            0.718879            0.379975            0.000000            0.882999            0.000000            
-140.000000         0.889011            0.749717            0.386505            0.000000            0.889011            0.000000            
-139.000000         0.893941            0.780744            0.392851            0.000000            0.893941            0.000000            
-138.000000         0.897781            0.811924            0.399011            0.000000            0.897781            0.000000            
-137.000000         0.900527            0.843219            0.404986            0.000000            0.900527            0.000000            
-136.000000         0.902176            0.874590            0.410773            0.000000            0.902176            0.000000            
-135.000000         0.902726            0.906000            0.416373            0.000000            0.902726            0.000000            
-134.000000         0.902176            0.937410            0.421785            0.000000            0.902176            0.000000            
-133.000000         0.900527            0.968781            0.427008            0.000000            0.900527            0.000000            
-132.000000         0.897781            1.000076            0.432042            0.000000            0.897781            0.000000            
-131.000000         0.893941            1.031256            0.436887            0.000000            0.893941            0.000000            
-130.000000         0.889011            1.062283            0.441542            0.000000            0.889011            0.000000            
-129.000000         0.882999            1.093120            0.446006            0.000000            0.882999            0.000000            
-128.000000         0.875911            1.123730            0.450281            0.000000            0.875911            0.000000            
-127.000000         0.867756            1.154074            0.454366            0.000000            0.867756            0.000000            
-126.000000         0.858543            1.184115            0.458260            0.000000            0.858543            0.000000            
-125.000000         0.848285            1.213818            0.461964            0.000000            0.848285            0.000000            
-124.000000         0.836993            1.243146            0.465478            0.000000            0.836993            0.000000            
-123.000000         0.824681            1.272063            0.468802            0.000000            0.824681            0.000000            
-122.000000         0.811365            1.300534            0.471937            0.000000            0.811365            0.000000            
-121.000000         0.797060            1.328524            0.474883            0.000000            0.797060            0.000000            
-120.000000         0.781784            1.356000            0.477640            0.000000            0.781784            0.000000            
-119.000000         0.765555            1.382927            0.480209            0.000000            0.765555            0.000000            
-118.000000         0.748394            1.409274            0.482590            0.000000            0.748394            0.000000            
-117.000000         0.730321            1.435007            0.484784            0.000000            0.730321            0.000000            
-116.000000         0.711358            1.460095            0.486792            0.000000            0.711358            0.000000            
-115.000000         0.691528            1.484509            0.488614            0.000000            0.691528            0.000000            
-114.000000         0.670856            1.508217            0.490252            0.000000            0.670856            0.000000            
-113.000000         0.649367            1.531193            0.491706            0.000000            0.649367            0.000000            
-112.000000         0.627086            1.553406            0.492977            0.000000            0.627086            0.000000            
-111.000000         0.604042            1.574830            0.494067            0.000000            0.604042            0.000000            
-110.000000         0.580261            1.595440            0.494976            0.000000            0.580261            0.000000            
-109.000000         0.555774            1.615210            0.495705            0.000000            0.555774            0.000000            
-108.000000         0.530609            1.634115            0.496257            0.000000            0.530609            0.000000            
-107.000000         0.504798            1.652134            0.496631            0.000000            0.504798            0.000000            
-106.000000         0.478372            1.669243            0.496830            0.000000            0.478372            0.000000            
-105.000000         0.451363            1.685423            0.496854            0.000000            0.451363            0.000000            
-104.000000         0.423804            1.700653            0.496706            0.000000            0.423804            0.000000            
-103.000000         0.395729            1.714915            0.496386            0.000000            0.395729            0.000000            
-102.000000         0.367172            1.728191            0.495897            0.000000            0.367172            0.000000            
-101.000000         0.338167            1.740465            0.495240            0.000000            0.338167            0.000000            
-100.000000         0.308750            1.751723            0.494416            0.000000            0.308750            0.000000            
-99.000000          0.278958            1.761951            0.493428            0.000000            0.278958            0.000000            
-98.000000          0.248825            1.771135            0.492277            0.000000            0.248825            0.000000            
-97.000000          0.218389            1.779266            0.490965            0.000000            0.218389            0.000000            
-96.000000          0.187687            1.786333            0.489494            0.000000            0.187687            0.000000            
-95.000000          0.156757            1.792327            0.487866            0.000000            0.156757            0.000000            
-94.000000          0.125635            1.797241            0.486083            0.000000            0.125635            0.000000            
-93.000000          0.094361            1.801070            0.484146            0.000000            0.094361            0.000000            
-92.000000          0.062971            1.803808            0.482059            0.000000            0.062971            0.000000            
-91.000000          0.031505            1.805452            0.479822            0.000000            0.031505            0.000000            
-90.000000          0.000000            1.800000            0.475853            0.000000            0.000000            0.000000            
-89.000000          -0.031430           1.799440            0.473330            -17.892431          -0.031430           0.000000            
-88.000000          -0.062862           1.797784            0.470665            -17.687727          -0.062862           0.000000            
-87.000000          -0.094257           1.795035            0.467861            -17.483021          -0.094257           0.000000            
-86.000000          -0.125579           1.791194            0.464921            -17.278316          -0.125579           0.000000            
-85.000000          -0.156789           1.786268            0.461847            -17.073610          -0.156789           0.000000            
-84.000000          -0.187848           1.780262            0.458642            -16.868904          -0.187848           0.000000            
-83.000000          -0.218721           1.773184            0.455310            -16.664200          -0.218721           0.000000            
-82.000000          -0.249370           1.765042            0.451853            -16.459494          -0.249370           0.000000            
-81.000000          -0.279757           1.755846            0.448275            -16.254787          -0.279757           0.000000            
-80.000000          -0.309847           1.745606            0.444578            -16.050083          -0.309847           0.000000            
-79.000000          -0.339603           1.734337            0.440766            -15.845378          -0.339603           0.000000            
-78.000000          -0.368991           1.722051            0.436841            -15.640672          -0.368991           0.000000            
-77.000000          -0.397975           1.708763            0.432807            -15.435966          -0.397975           0.000000            
-76.000000          -0.426521           1.694490            0.428667            -15.231261          -0.426521           0.000000            
-75.000000          -0.454595           1.679249            0.424423            -15.026556          -0.454595           0.000000            
-74.000000          -0.482164           1.663058            0.420080            -14.821850          -0.482164           0.000000            
-73.000000          -0.509196           1.645937            0.415640            -14.617145          -0.509196           0.000000            
-72.000000          -0.535659           1.627907            0.411107            -14.412439          -0.535659           0.000000            
-71.000000          -0.561523           1.608991            0.406483            -14.207734          -0.561523           0.000000            
-70.000000          -0.586757           1.589210            0.401772            -14.003029          -0.586757           0.000000            
-69.000000          -0.611332           1.568589            0.396977            -13.798323          -0.611332           0.000000            
-68.000000          -0.635221           1.547154            0.392101            -13.593617          -0.635221           0.000000            
-67.000000          -0.658395           1.524930            0.387148            -13.388912          -0.658395           0.000000            
-66.000000          -0.680829           1.501944            0.382120            -13.184207          -0.680829           0.000000            
-65.000000          -0.702497           1.478224            0.377022            -12.979502          -0.702497           0.000000            
-64.000000          -0.723376           1.453800            0.371856            -12.774796          -0.723376           0.000000            
-63.000000          -0.743442           1.428701            0.366625            -12.570090          -0.743442           0.000000            
-62.000000          -0.762673           1.402958            0.361334            -12.365385          -0.762673           0.000000            
-61.000000          -0.781049           1.376601            0.355985            -12.160680          -0.781049           0.000000            
-60.000000          -0.798550           1.349663            0.350581            -11.955974          -0.798550           0.000000            
-59.000000          -0.815157           1.322178            0.345126            -11.751268          -0.815157           0.000000            
-58.000000          -0.830854           1.294177            0.339623            -11.546563          -0.830854           0.000000            
-57.000000          -0.845625           1.265696            0.334075            -11.341858          -0.845625           0.000000            
-56.000000          -0.859456           1.236770            0.328486            -11.137153          -0.859456           0.000000            
-55.000000          -0.872334           1.207432            0.322860            -10.932446          -0.872334           0.000000            
-54.000000          -0.884246           1.177720            0.317199            -10.727741          -0.884246           0.000000            
-53.000000          -0.895183           1.147668            0.311506            -10.523036          -0.895183           0.000000            
-52.000000          -0.905136           1.117315            0.305786            -10.318331          -0.905136           0.000000            
-51.000000          -0.914098           1.086697            0.300042            -10.113625          -0.914098           0.000000            
-50.000000          -0.922063           1.055851            0.294276            -9.908919           -0.922063           0.000000            
-49.000000          -0.929028           1.024814            0.288493            -9.704214           -0.929028           0.000000            
-48.000000          -0.934989           0.993625            0.282696            -9.499509           -0.934989           0.000000            
-47.000000          -0.939945           0.962322            0.276889            -9.294804           -0.939945           0.000000            
-46.000000          -0.943898           0.930942            0.271074            -9.090097           -0.943898           0.000000            
-45.000000          -0.946851           0.899524            0.265256            -8.885392           -0.946851           0.000000            
-44.000000          -0.948806           0.868106            0.259438            -8.680687           -0.948806           0.000000            
-43.000000          -0.949772           0.836727            0.253623            -8.475982           -0.949772           0.000000            
-42.000000          -0.949755           0.805424            0.247816            -8.271276           -0.949755           0.000000            
-41.000000          -0.948765           0.774236            0.242020            -8.066570           -0.948765           0.000000            
-40.000000          -0.946815           0.743201            0.236239            -7.861865           -0.946815           0.000000            
-39.000000          -0.943919           0.712356            0.230477            -7.657160           -0.943919           0.000000            
-38.000000          -0.940093           0.681740            0.224737            -7.452454           -0.940093           0.000000            
-37.000000          -0.935356           0.651389            0.219025            -7.247749           -0.935356           0.000000            
-36.000000          -0.929729           0.621340            0.213344            -7.043043           -0.929729           0.000000            
-35.000000          -0.923235           0.591631            0.207698            -6.838338           -0.923235           0.000000            
-34.000000          -0.915902           0.562296            0.202093            -6.633633           -0.915902           0.000000            
-33.000000          -0.907758           0.533373            0.188946            -6.428927           -0.907758           0.000000            
-32.000000          -0.898836           0.504895            0.175800            -6.224222           -0.898836           0.000000            
-31.000000          -0.889173           0.476899            0.162654            -6.019516           -0.889173           0.000000            
-30.000000          -0.878808           0.449417            0.149508            -5.814811           -0.878808           0.000000            
-29.000000          -0.867787           0.422484            0.136362            -5.610105           -0.867787           0.000000            
-28.000000          -0.856159           0.396132            0.123216            -5.405400           -0.856159           0.000000            
-27.000000          -0.843979           0.370394            0.110069            -5.200694           -0.843979           0.000000            
-26.000000          -0.831308           0.345300            0.096923            -4.995989           -0.831308           0.000000            
-25.000000          -0.818216           0.320881            0.083777            -4.791284           -0.818216           0.000000            
-24.000000          -0.804780           0.297168            0.070631            -4.586578           -0.804780           0.000000            
-23.000000          -0.791089           0.274188            0.057485            -4.381873           -0.791089           0.000000            
-22.000000          -0.777243           0.251970            0.044339            -4.177167           -0.777243           0.000000            
-21.000000          -0.763358           0.230541            0.031192            -3.972462           -0.763358           0.000000            
-20.000000          -0.749570           0.209927            0.018046            -3.767756           -0.749570           0.000000            
-19.000000          -0.448300           0.177990            0.004900            -3.563051           -0.161046           0.084437            
-18.500000          -0.672900           0.184300            0.033800            -3.460698           -0.633473           0.013946            
-18.000000          -0.660100           0.182120            0.028200            -3.358345           -0.625007           0.012839            
-17.500000          -0.424900           0.164960            -0.001300           -3.255993           -0.188680           0.077012            
-16.500000          -0.605300           0.168280            0.018100            -3.051287           -0.575773           0.011928            
-16.000000          -0.595000           0.165450            0.012800            -2.948934           -0.570434           0.010328            
-15.500000          -0.573500           0.159660            0.010800            -2.846582           -0.549464           0.010464            
-14.000000          -0.539900           0.147000            -0.001800           -2.539524           -0.527713           0.006058            
-12.000000          -0.491400           0.125050            -0.013500           -2.130113           -0.488853           0.001552            
-11.500000          -0.495000           0.113780            -0.019300           -2.027760           -0.494785           0.000140            
-11.000000          -0.503700           0.103950            -0.024700           -1.925407           -0.502951           0.000527            
-10.000000          -0.568700           0.075410            -0.042200           -1.720702           -0.542259           0.022437            
-9.500000           -0.654300           0.056860            -0.054400           -1.618349           -0.577465           0.073817            
-9.000000           -0.692900           0.046800            -0.052200           -1.515996           -0.576399           0.123991            
-8.500000           -0.701600           0.038660            -0.047900           -1.413644           -0.558578           0.167265            
-8.000000           -0.676300           0.035030            -0.044700           -1.311291           -0.526991           0.190372            
-7.500000           -0.649100           0.031130            -0.041300           -1.208938           -0.494236           0.216684            
-7.000000           -0.615800           0.028020            -0.038300           -1.106585           -0.459090           0.242025            
-6.500000           -0.578500           0.025600            -0.035700           -1.004233           -0.422394           0.268298            
-6.000000           -0.539100           0.023630            -0.033200           -0.901880           -0.384782           0.298430            
-5.500000           -0.498300           0.021930            -0.031000           -0.799527           -0.346457           0.335143            
-5.000000           -0.456900           0.020550            -0.029000           -0.697174           -0.307582           0.383267            
-4.500000           -0.414200           0.019410            -0.027300           -0.594822           -0.267913           0.447485            
-4.000000           -0.345800           0.018320            -0.030800           -0.492469           -0.222427           0.456867            
-3.500000           -0.269000           0.017310            -0.035900           -0.390116           -0.175137           0.436615            
-3.000000           -0.194100           0.016420            -0.040500           -0.287764           -0.128227           0.412901            
-2.500000           -0.121800           0.015500            -0.044300           -0.185411           -0.081868           0.385655            
-2.000000           -0.052700           0.014540            -0.046600           -0.083058           -0.036226           0.351772            
-1.500000           0.013700            0.013960            -0.046600           0.019295            0.008746            0.469613            
-1.000000           0.106000            0.013810            -0.052000           0.121647            0.058656            0.751595            
-0.500000           0.224000            0.013510            -0.064200           0.224000            0.112000            1.000000            
0.000000            0.281300            0.013280            -0.064300           0.326353            0.156885            0.734151            
0.500000            0.335100            0.013140            -0.063400           0.428705            0.200304            0.590171            
1.000000            0.387300            0.013080            -0.062100           0.531058            0.242830            0.501235            
1.500000            0.437800            0.013140            -0.060400           0.633411            0.284586            0.439228            
2.000000            0.487900            0.013290            -0.058700           0.735764            0.325940            0.395194            
2.500000            0.537800            0.013540            -0.057000           0.838116            0.367018            0.362518            
3.000000            0.587500            0.013860            -0.055300           0.940469            0.407875            0.337264            
3.500000            0.636900            0.014260            -0.053600           1.042822            0.448521            0.316975            
4.000000            0.685800            0.014710            -0.051800           1.145175            0.488926            0.299999            
4.500000            0.733900            0.015200            -0.050000           1.247527            0.529018            0.285149            
5.000000            0.781000            0.015740            -0.047900           1.349880            0.568743            0.271728            
5.500000            0.826600            0.016340            -0.045800           1.452233            0.607951            0.258976            
6.000000            0.870300            0.017020            -0.043400           1.554585            0.646509            0.246445            
6.500000            0.911300            0.017890            -0.040700           1.656938            0.684145            0.233508            
7.000000            0.948100            0.019190            -0.037700           1.759291            0.720340            0.219221            
7.500000            0.980100            0.021070            -0.034400           1.861644            0.754802            0.203550            
8.000000            1.009400            0.023280            -0.030900           1.963996            0.788110            0.188190            
8.500000            1.036800            0.025550            -0.027100           2.066349            0.820476            0.173633            
9.000000            1.063000            0.027830            -0.023300           2.168702            0.852112            0.160177            
9.500000            1.087500            0.030230            -0.019300           2.271055            0.882813            0.147443            
10.000000           1.110300            0.032710            -0.015300           2.373407            0.912538            0.135373            
10.500000           1.134900            0.035430            -0.011900           2.475760            0.942656            0.125395            
11.000000           1.160500            0.038410            -0.008900           2.578113            0.972923            0.116856            
11.500000           1.183500            0.041750            -0.005900           2.680465            1.001860            0.108209            
12.000000           1.200500            0.045570            -0.002800           2.782818            1.027894            0.098355            
12.500000           1.216800            0.049400            -0.000200           2.885171            1.053201            0.089302            
13.000000           1.204100            0.054800            0.003400            2.987524            1.064187            0.072745            
13.500000           1.197100            0.059940            0.005400            3.089876            1.076365            0.059962            
14.000000           1.179000            0.066210            0.006200            3.192229            1.080992            0.046422            
14.500000           1.136400            0.074950            0.003900            3.294582            1.068527            0.030490            
15.000000           1.090400            0.085380            -0.002200           3.396935            1.048783            0.017723            
15.500000           0.938300            0.120660            -0.034700           3.499287            0.935042            0.001271            
17.000000           0.893300            0.163840            -0.068700           3.806345            0.890478            0.000968            
17.500000           0.901700            0.171540            -0.075000           3.908698            0.897026            0.001552            
18.500000           0.927300            0.184260            -0.086000           4.113403            0.919185            0.002540            
19.000000           0.649000            0.184810            -0.049200           4.215756            0.475663            0.046346            
20.000000           1.068886            0.176946            -0.060520           4.420462            1.068886            0.000000            
21.000000           1.064157            0.197775            -0.071839           4.625167            1.064157            0.000000            
22.000000           1.061072            0.219428            -0.083159           4.829873            1.061072            0.000000            
23.000000           1.059299            0.241880            -0.094479           5.034578            1.059299            0.000000            
24.000000           1.058555            0.265104            -0.105798           5.239284            1.058555            0.000000            
25.000000           1.058599            0.289072            -0.117118           5.443989            1.058599            0.000000            
26.000000           1.059226            0.313754            -0.128438           5.648695            1.059226            0.000000            
27.000000           1.060259            0.339121            -0.139758           5.853400            1.060259            0.000000            
28.000000           1.061540            0.365143            -0.151077           6.058105            1.061540            0.000000            
29.000000           1.062937            0.391787            -0.162397           6.262811            1.062937            0.000000            
30.000000           1.064329            0.419021            -0.173717           6.467516            1.064329            0.000000            
31.000000           1.065611            0.446814            -0.185036           6.672222            1.065611            0.000000            
32.000000           1.066690            0.475131            -0.196356           6.876927            1.066690            0.000000            
33.000000           1.067483            0.503937            -0.207676           7.081633            1.067483            0.000000            
34.000000           1.067917            0.533199            -0.218995           7.286338            1.067917            0.000000            
35.000000           1.067925            0.562880            -0.223285           7.491044            1.067925            0.000000            
36.000000           1.067449            0.592945            -0.227674           7.695749            1.067449            0.000000            
37.000000           1.066436            0.623358            -0.232154           7.900454            1.066436            0.000000            
38.000000           1.064838            0.654082            -0.236719           8.105160            1.064838            0.000000            
39.000000           1.062615            0.685080            -0.241361           8.309865            1.062615            0.000000            
40.000000           1.059728            0.716315            -0.246074           8.514570            1.059728            0.000000            
41.000000           1.056144            0.747748            -0.250854           8.719276            1.056144            0.000000            
42.000000           1.051834            0.779341            -0.255693           8.923982            1.051834            0.000000            
43.000000           1.046772            0.811058            -0.260586           9.128687            1.046772            0.000000            
44.000000           1.040936            0.842859            -0.265529           9.333392            1.040936            0.000000            
45.000000           1.034306            0.874706            -0.270517           9.538097            1.034306            0.000000            
46.000000           1.026866            0.906561            -0.275544           9.742804            1.026866            0.000000            
47.000000           1.018603            0.938385            -0.280606           9.947509            1.018603            0.000000            
48.000000           1.009505            0.970140            -0.285700           10.152214           1.009505            0.000000            
49.000000           0.999563            1.001788            -0.290819           10.356919           0.999563            0.000000            
50.000000           0.988772            1.033290            -0.295961           10.561625           0.988772            0.000000            
51.000000           0.977127            1.064609            -0.301120           10.766331           0.977127            0.000000            
52.000000           0.964627            1.095707            -0.306293           10.971036           0.964627            0.000000            
53.000000           0.951272            1.126546            -0.311476           11.175741           0.951272            0.000000            
54.000000           0.937064            1.157090            -0.316664           11.380446           0.937064            0.000000            
55.000000           0.922006            1.187301            -0.321854           11.585153           0.922006            0.000000            
56.000000           0.906106            1.217143            -0.327041           11.789858           0.906106            0.000000            
57.000000           0.889370            1.246581            -0.332222           11.994563           0.889370            0.000000            
58.000000           0.871809            1.275578            -0.337393           12.199268           0.871809            0.000000            
59.000000           0.853432            1.304101            -0.342550           12.403974           0.853432            0.000000            
60.000000           0.834253            1.332115            -0.347688           12.608680           0.834253            0.000000            
61.000000           0.814286            1.359585            -0.352805           12.813385           0.814286            0.000000            
62.000000           0.793546            1.386480            -0.357895           13.018090           0.793546            0.000000            
63.000000           0.772052            1.412767            -0.362956           13.222795           0.772052            0.000000            
64.000000           0.749820            1.438414            -0.367983           13.427502           0.749820            0.000000            
65.000000           0.726871            1.463391            -0.372972           13.632207           0.726871            0.000000            
66.000000           0.703226            1.487668            -0.377920           13.836912           0.703226            0.000000            
67.000000           0.678908            1.511216            -0.382823           14.041617           0.678908            0.000000            
68.000000           0.653940            1.534006            -0.387676           14.246323           0.653940            0.000000            
69.000000           0.628346            1.556011            -0.392476           14.451029           0.628346            0.000000            
70.000000           0.602153            1.577206            -0.397218           14.655734           0.602153            0.000000            
71.000000           0.575388            1.597564            -0.401899           14.860439           0.575388            0.000000            
72.000000           0.548078            1.617061            -0.406515           15.065145           0.548078            0.000000            
73.000000           0.520252            1.635675            -0.411062           15.269851           0.520252            0.000000            
74.000000           0.491940            1.653383            -0.415535           15.474556           0.491940            0.000000            
75.000000           0.463172            1.670165            -0.419931           15.679261           0.463172            0.000000            
76.000000           0.433981            1.685999            -0.424246           15.883966           0.433981            0.000000            
77.000000           0.404398            1.700868            -0.428476           16.088673           0.404398            0.000000            
78.000000           0.374457            1.714754            -0.432616           16.293377           0.374457            0.000000            
79.000000           0.344191            1.727640            -0.436662           16.498083           0.344191            0.000000            
80.000000           0.313634            1.739512            -0.440611           16.702789           0.313634            0.000000            
81.000000           0.282821            1.750355            -0.444459           16.907494           0.282821            0.000000            
82.000000           0.251789            1.760157            -0.448201           17.112200           0.251789            0.000000            
83.000000           0.220572            1.768907            -0.451833           17.316904           0.220572            0.000000            
84.000000           0.189207            1.776594            -0.455351           17.521610           0.189207            0.000000            
85.000000           0.157732            1.783209            -0.458751           17.726316           0.157732            0.000000            
86.000000           0.126182            1.788746            -0.462029           17.931021           0.126182            0.000000            
87.000000           0.094597            1.793198            -0.465181           18.135727           0.094597            0.000000            
88.000000           0.063012            1.796559            -0.468202           18.340431           0.063012            0.000000            
89.000000           0.031467            1.798827            -0.471090           18.545137           0.031467            0.000000            
90.000000           0.000000            1.800000            -0.473838           0.000000            0.000000            0.000000            
91.000000           -0.031410           1.805452            -0.477867           0.000000            -0.031410           0.000000            
92.000000           -0.062781           1.803808            -0.480169           0.000000            -0.062781           0.000000            
93.000000           -0.094076           1.801070            -0.482322           0.000000            -0.094076           0.000000            
94.000000           -0.125256           1.797241            -0.484323           0.000000            -0.125256           0.000000            
95.000000           -0.156283           1.792327            -0.486171           0.000000            -0.156283           0.000000            
96.000000           -0.187121           1.786333            -0.487863           0.000000            -0.187121           0.000000            
97.000000           -0.217730           1.779266            -0.489397           0.000000            -0.217730           0.000000            
98.000000           -0.248074           1.771135            -0.490771           0.000000            -0.248074           0.000000            
99.000000           -0.278115           1.761951            -0.491984           0.000000            -0.278115           0.000000            
100.000000          -0.307818           1.751723            -0.493032           0.000000            -0.307818           0.000000            
101.000000          -0.337146           1.740465            -0.493916           0.000000            -0.337146           0.000000            
102.000000          -0.366063           1.728191            -0.494632           0.000000            -0.366063           0.000000            
103.000000          -0.394534           1.714915            -0.495179           0.000000            -0.394534           0.000000            
104.000000          -0.422524           1.700653            -0.495556           0.000000            -0.422524           0.000000            
105.000000          -0.450000           1.685423            -0.495760           0.000000            -0.450000           0.000000            
106.000000          -0.476927           1.669243            -0.495791           0.000000            -0.476927           0.000000            
107.000000          -0.503274           1.652134            -0.495646           0.000000            -0.503274           0.000000            
108.000000          -0.529007           1.634115            -0.495324           0.000000            -0.529007           0.000000            
109.000000          -0.554095           1.615210            -0.494825           0.000000            -0.554095           0.000000            
110.000000          -0.578509           1.595440            -0.494146           0.000000            -0.578509           0.000000            
111.000000          -0.602218           1.574830            -0.493286           0.000000            -0.602218           0.000000            
112.000000          -0.625193           1.553406            -0.492245           0.000000            -0.625193           0.000000            
113.000000          -0.647406           1.531193            -0.491020           0.000000            -0.647406           0.000000            
114.000000          -0.668830           1.508217            -0.489612           0.000000            -0.668830           0.000000            
115.000000          -0.689440           1.484509            -0.488019           0.000000            -0.689440           0.000000            
116.000000          -0.709210           1.460095            -0.486240           0.000000            -0.709210           0.000000            
117.000000          -0.728115           1.435007            -0.484274           0.000000            -0.728115           0.000000            
118.000000          -0.746134           1.409274            -0.482121           0.000000            -0.746134           0.000000            
119.000000          -0.763243           1.382927            -0.479779           0.000000            -0.763243           0.000000            
120.000000          -0.779423           1.356000            -0.477249           0.000000            -0.779423           0.000000            
121.000000          -0.794653           1.328524            -0.474529           0.000000            -0.794653           0.000000            
122.000000          -0.808915           1.300534            -0.471620           0.000000            -0.808915           0.000000            
123.000000          -0.822191           1.272063            -0.468520           0.000000            -0.822191           0.000000            
124.000000          -0.834465           1.243146            -0.465229           0.000000            -0.834465           0.000000            
125.000000          -0.845723           1.213818            -0.461748           0.000000            -0.845723           0.000000            
126.000000          -0.855951           1.184115            -0.458075           0.000000            -0.855951           0.000000            
127.000000          -0.865135           1.154074            -0.454211           0.000000            -0.865135           0.000000            
128.000000          -0.873266           1.123730            -0.450156           0.000000            -0.873266           0.000000            
129.000000          -0.880333           1.093120            -0.445909           0.000000            -0.880333           0.000000            
130.000000          -0.886327           1.062283            -0.441472           0.000000            -0.886327           0.000000            
131.000000          -0.891241           1.031256            -0.436843           0.000000            -0.891241           0.000000            
132.000000          -0.895070           1.000076            -0.432023           0.000000            -0.895070           0.000000            
133.000000          -0.897808           0.968781            -0.427013           0.000000            -0.897808           0.000000            
134.000000          -0.899452           0.937410            -0.421813           0.000000            -0.899452           0.000000            
135.000000          -0.900000           0.906000            -0.416423           0.000000            -0.900000           0.000000            
136.000000          -0.899452           0.874590            -0.410844           0.000000            -0.899452           0.000000            
137.000000          -0.897808           0.843219            -0.405076           0.000000            -0.897808           0.000000            
138.000000          -0.895070           0.811924            -0.399121           0.000000            -0.895070           0.000000            
139.000000          -0.891241           0.780744            -0.392979           0.000000            -0.891241           0.000000            
140.000000          -0.886327           0.749717            -0.386650           0.000000            -0.886327           0.000000            
141.000000          -0.880333           0.718879            -0.380137           0.000000            -0.880333           0.000000            
142.000000          -0.873266           0.688270            -0.373439           0.000000            -0.873266           0.000000            
143.000000          -0.865135           0.657926            -0.366558           0.000000            -0.865135           0.000000            
144.000000          -0.855951           0.627885            -0.359495           0.000000            -0.855951           0.000000            
145.000000          -0.845723           0.598182            -0.352251           0.000000            -0.845723           0.000000            
