       XFOIL         Version 6.96
  
 Calculated polar for: NACA 2.5411                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
-89.000000          -0.031439           1.799034            0.475174            -11.544908          -0.031439           0.000000            
-88.000000          -0.062901           1.796973            0.472572            -11.412021          -0.062901           0.000000            
-87.000000          -0.094345           1.793818            0.469831            -11.279133          -0.094345           0.000000            
-86.000000          -0.125735           1.789573            0.466955            -11.146246          -0.125735           0.000000            
-85.000000          -0.157032           1.784242            0.463947            -11.013358          -0.157032           0.000000            
-84.000000          -0.188200           1.777833            0.460810            -10.880471          -0.188200           0.000000            
-83.000000          -0.219199           1.770351            0.457547            -10.747583          -0.219199           0.000000            
-82.000000          -0.249995           1.761807            0.454162            -10.614697          -0.249995           0.000000            
-81.000000          -0.280549           1.752209            0.450657            -10.481809          -0.280549           0.000000            
-80.000000          -0.310825           1.741570            0.447037            -10.348922          -0.310825           0.000000            
-79.000000          -0.340789           1.729902            0.443303            -10.216034          -0.340789           0.000000            
-78.000000          -0.370404           1.717218            0.439460            -10.083147          -0.370404           0.000000            
-77.000000          -0.399635           1.703534            0.435510            -9.950259           -0.399635           0.000000            
-76.000000          -0.428449           1.688866            0.431458            -9.817372           -0.428449           0.000000            
-75.000000          -0.456812           1.673232            0.427306            -9.684484           -0.456812           0.000000            
-74.000000          -0.484690           1.656651            0.423057            -9.551598           -0.484690           0.000000            
-73.000000          -0.512053           1.639141            0.418715            -9.418710           -0.512053           0.000000            
-72.000000          -0.538868           1.620724            0.414283            -9.285823           -0.538868           0.000000            
-71.000000          -0.565106           1.601423            0.409765            -9.152935           -0.565106           0.000000            
-70.000000          -0.590736           1.581259            0.405163            -9.020048           -0.590736           0.000000            
-69.000000          -0.615729           1.560259            0.400482            -8.887160           -0.615729           0.000000            
-68.000000          -0.640058           1.538446            0.395724            -8.754273           -0.640058           0.000000            
-67.000000          -0.663696           1.515847            0.390893            -8.621386           -0.663696           0.000000            
-66.000000          -0.686617           1.492489            0.385992            -8.488499           -0.686617           0.000000            
-65.000000          -0.708796           1.468401            0.381025            -8.355611           -0.708796           0.000000            
-64.000000          -0.730210           1.443610            0.375995            -8.222724           -0.730210           0.000000            
-63.000000          -0.750835           1.418148            0.370905            -8.089836           -0.750835           0.000000            
-62.000000          -0.770652           1.392045            0.365758            -7.956949           -0.770652           0.000000            
-61.000000          -0.789638           1.365332            0.360559            -7.824061           -0.789638           0.000000            
-60.000000          -0.807776           1.338041            0.355310            -7.691174           -0.807776           0.000000            
-59.000000          -0.825048           1.310206            0.350015            -7.558287           -0.825048           0.000000            
-58.000000          -0.841438           1.281859            0.344678            -7.425399           -0.841438           0.000000            
-57.000000          -0.856930           1.253036            0.339300            -7.292512           -0.856930           0.000000            
