       XFOIL         Version 6.96
  
 Calculated polar for: NACA 2.5411                                     
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   6.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
-89.000000          -0.110154           1.689976            0.446863            -9.923130           -0.110154           0.000000            
-88.000000          -0.130039           1.688509            0.444831            -9.808846           -0.130039           0.000000            
-87.000000          -0.149761           1.686024            0.442578            -9.694561           -0.149761           0.000000            
-86.000000          -0.169302           1.682523            0.440104            -9.580277           -0.169302           0.000000            
-85.000000          -0.188648           1.678011            0.437414            -9.465993           -0.188648           0.000000            
-84.000000          -0.207782           1.672493            0.434509            -9.351709           -0.207782           0.000000            
-83.000000          -0.226689           1.665976            0.431395            -9.237425           -0.226689           0.000000            
-82.000000          -0.245354           1.658467            0.428074            -9.123140           -0.245354           0.000000            
-81.000000          -0.263763           1.649977            0.424553            -9.008857           -0.263763           0.000000            
-80.000000          -0.281902           1.640514            0.420834            -8.894572           -0.281902           0.000000            
-79.000000          -0.299754           1.630090            0.416925            -8.780288           -0.299754           0.000000            
-78.000000          -0.317307           1.618718            0.412830            -8.666004           -0.317307           0.000000            
-77.000000          -0.334545           1.606412            0.408556            -8.551720           -0.334545           0.000000            
-76.000000          -0.351455           1.593186            0.404108            -8.437436           -0.351455           0.000000            
-75.000000          -0.368021           1.579056            0.399494            -8.323152           -0.368021           0.000000            
-74.000000          -0.384230           1.564039            0.394720            -8.208867           -0.384230           0.000000            
-73.000000          -0.400069           1.548153            0.389793            -8.094584           -0.400069           0.000000            
-72.000000          -0.415522           1.531417            0.384720            -7.980299           -0.415522           0.000000            
-71.000000          -0.430577           1.513852            0.379510            -7.866015           -0.430577           0.000000            
-70.000000          -0.445220           1.495478            0.374169            -7.751730           -0.445220           0.000000            
-69.000000          -0.459437           1.476317            0.368704            -7.637446           -0.459437           0.000000            
-68.000000          -0.473215           1.456392            0.363125            -7.523162           -0.473215           0.000000            
-67.000000          -0.486541           1.435728            0.357439            -7.408878           -0.486541           0.000000            
-66.000000          -0.499401           1.414349            0.351653            -7.294594           -0.499401           0.000000            
-65.000000          -0.511784           1.392281            0.345776            -7.180310           -0.511784           0.000000            
-64.000000          -0.523675           1.369550            0.339815            -7.066026           -0.523675           0.000000            
